case_number,company_name,clean_name_1,clean_name_2,emp_1_city,emp_1_state,emp_1_zip,scrape_status
01-RC-117173,SDH Education East LLC,SDH Education,,NORTH ANDOVER,MA,1845,
01-RC-117260,FIRST STUDENT BROCKTON,First Student,,BROCKTON,MA,2301,
01-RC-119276,"SDH EDUCATION EAST, LLC",SDH Education,,Gaithersburg,MD,20878,
01-RC-119465,BOB'S DISCOUNT FURNITURE,Bob's Furniture,,SOUTH ATTLEBORO,MA,2703,
01-RC-119998,GOLDEN LIVING CENTER - WEDGEMERE,Golden Living,,TAUNTON,MA,2780,
01-RC-120224,"Airgas East, Inc.",Airgas,,BILLERICA,MA,1821,
01-RC-120903,GOLDEN LIVING CENTER,Golden Living,,DEDHAM,MA,2026,
01-RC-121075,Southern CT Gas Company,Southern Gas,,Orange,CT,6477,
01-RC-121155,UNO FOODS INC.,Uno,,BROCKTON,MA,2302,
01-RC-121380,EMERA MAINE,Emera,,BANGOR,ME,4401,
01-RC-122775,GGNSC Middleboro LLC d/b/a Golden Living Oak Hill,Golden Living,GGNSC,MIDDLEBOROUGH,MA,2346,
01-RC-123898,"HC BANGOR LLC, d/b/a HOLLYWOOD CASINO HOTEL AND RACEWAY",Hollywood Casino,,BANGOR,ME,4401,
01-RC-127117,AZ CORPORATION,AZ ,,NORTH STONINGTON,CT,6359,
01-RC-127834,WESTBAY CAP,Westbay ,,WARWICK,RI,2886,
01-RC-127890,PEPSI BEVERAGES COMPANY,Pepsi,,MANCHESTER,NH,3103,
01-RC-128414,ADDISON COUNTY TRANSIT RESOURCES,Addison County Transit,,MIDDLEBURY,VT,5753,
01-RC-128872,"HBR Trumbull LLC of Trumbull, CT d/b/a St. Joseph's Manor Care & Rehabilitation",HBR Trumbull,St. Joseph's Manor ,Trumbull,CT,6611,
01-RC-129108,"First Student, Inc.",First Student,,Weston,CT,6883,
01-RC-129201,"Hatti Supermarket, LLC",Hatti,,Hartford,CT,6120,
01-RC-129843,"FIRST STUDENT, INC.",First Student,,East Falmouth,MA,2536,
01-RC-131860,"HBR Trumbull LLC of Trumbull, CT d/b/a St. Joseph's Manor Care and Rehabilitation Center",HBR Trumbull,St. Joseph's Manor ,Trumbull,CT,6611,
01-RC-131976,BROOKFIELD POWER NEW ENGLAND LLC,Brookfield Power,,Watertown,NY,13601,
01-RC-132924,MASSACHUSETTS NURSES ASSOCIATION,Massachusetts Nurses,,,,,
01-RC-133451,EDAC Techonologies Corporation,EDAC,,Cheshire,CT,6410,
01-RC-134016,Greenwich Honda,Honda,,Greenwich,CT,6830,
01-RC-134298,"Lawrence & Memorial Corporation, Lawrence and Memorial Hospital, and L&M Physicians Association, d/b/a LMMG, a single employer",Lawrence Memorial,,NEW LONDON,CT,6320,
01-RC-135074,"FIRST STUDENT, INC.",First Student,,MILFORD,NH,3055,
01-RC-138009,Con-way Freight Inc.,Con-way,,MANCHESTER,NH,3103,
01-RC-138347,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 42",IBEW,international brotherhood of electrical workers,Manchester,CT,6040,
01-RC-139363,"Alta Bicycle Share, Inc. d/b/a Hubway",Alta Bicycle,Hubway,Brooklyn,NY,11201,
01-RC-139493,FIRST STUDENT ABINGTON,First Student,,Abington,MA,2351,
01-RC-140673,YRC Inc. (d/b/a YRC Freight),YRC,,SHREWSBURY,MA,1545,
01-RC-141130,FIRST STUDENT INC.,First Student,,Tilton,NH,3276,
01-RC-141445,"ELAD INDUSTRIAL INSULATION, INC.",Elad insulation,,Boston,MA,2122,
01-RC-142086,DPI DEDICATED LOGISTICS - BOSTON,DPI logistics,,Canton,MA,2021,
01-RC-143134,"HEALTHCARE SERVICES GROUP, INC.",Healthcare services,,Vernon,CT,6066,
01-RC-144161,"Tribune Broadcasting Hartford, LLC",Tribune Broadcasting,,Hartford,CT,6115,
01-RC-144310,"J.P. Salmini Co., Inc.",J.P. Salmini,,Milford,CT,6460,
01-RC-144611,SHAW'S/ STAR MARKET A DIVISION OF ALBERTSON'S D/B/A OSCO PHARMACY,Star Market,Osco ,West Bridgewater,MA,2379,
01-RC-145268,"TIME WARNER CABLE NORTHEAST, LLC",Time Warner,,Pittsfield,MA,1201,
01-RC-146464,"NCS WIRELESS, LLC",NCS,,MIDDLEBORO,MA,2346,
01-RC-147004,UNIVERSAL PROTECTION SERVICE,Universal Protection,,Herndon,VA,20171,
01-RC-147033,WMUR-TV HEARST PROPERTIES INC.,WMUR,,MANCHESTER,NH,3101,
01-RC-147842,"Prospect CharterCARE, LLC dba  Charter Care Health Partners OUR LADY OF FATIMA HOSPITAL",Charter Care,Our Lady of Fatima,North Providence,RI,2904,
01-RC-148561,SOUTHCOAST VNA,Southcoast,,Fairhaven,MA,2719,
01-RC-148618,"HBR TRUMBULL LLC OF TRUMBULL, CT d/b/a ST. JOSEPH'S MANOR CARE AND REHABILITATION CENTER",HBR Trumbull,St. Joseph's Manor ,Trumbull,CT,6611,
01-RC-149914,"DTZ, Inc.",DTZ,,Bloomfield,NJ,7003,
01-RC-150106,Boston Medical Center,Boston Medical,,BROOKLYN,NY,11201,
01-RC-150809,"Healthcare Services Group, Inc.",Healthcare services,,East Bridgewater,MA,2333,
01-RC-151218,"ARAMARK EDUCATIONAL SERVICES, LLC",aramark,,Lincoln,RI,2865,
01-RC-151938,"Medical Resources Home Health, Corp.",medical resources,,BOSTON,MA,2116,
01-RC-152774,UNO FOODS INC.,uno,,BROCKTON,MA,2302,
01-RC-153228,Chestnut Health and Rehabilitation Group d/b/a Country Gardens Skilled Nursing and Rehabilitation Center,chestnut health,Country Gardens,Swansea,MA,2777,
01-RC-153797,SIKORSKY TRUMBULL O&R,Sikorski,,Stratford,CT,6615,
01-RC-154921,"UNTED EMS WORKERS, AFSCME LOCAL 4911",United EMS,AFSCME,BOSTON,MA,2108,
01-RC-155211,"Hanover Consumer Cooperative Society, Inc. d/b/a Lebanon Co-op Food Store",Hanover Consumer,Lebanon Co-op,Hanover,NH,3755,
01-RC-155542,"DURHAM SCHOOL SERVICES, L.P.",durham school,,East Freetown,MA,2717,
01-RC-155891,"SIMPLEX GRINNELL, DISTRICT 129",Simplex grinnell,,Windsor,CT,6095,
01-RC-156533,Norwalk Hospital,Norwalk Hospital,,Norwalk,CT,6850,
01-RC-156861,"PETRO HOLDINGS, INC. d/b/a KASDEN FUEL COMPANY",Petro holdings,kasden,East Hartford,CT,6108,
01-RC-157259,"Yankees Entertainment and Sports Network, LLC",Yankees Entertainment,Yankees Sports,New York,NY,10022,
01-RC-157438,"Greater Hartford Legal Aid, Inc.",Hartford Legal Aid,,Hartford,CT,6105,
01-RC-158624,"Healthcare Services Group, Inc.",Healthcare services,,Vernon Rockville,CT,6066,
01-RC-159231,THE HOTEL NORTHAMPTON,Hotel northampton,,Northampton,MA,1060,
01-RC-159425,"BOB'S TIRE CO., INC.",bob's tire,,MATTAPOISETT,MA,2739,
01-RC-160577,"Suburban Building Services Group, Inc",suburban building,,BURLINGTON,MA,1803,
01-RC-162234,"RP PROVIDENCE HR, LLC",Providence HR,,Providence,RI,2903,
01-RC-162632,"VISITING NURSES ASSOCIATION OF CAPE COD, INC.",Visiting nurses association,,Falmouth,MA,2540,
01-RC-163220,"EF INTERNATIONAL LANGUAGE SCHOOLS, INC.",EF International,,Brighton,MA,2135,
01-RC-164550,"FIRSTGROUP AMERICA, INC.",Firstgroup,,PLAISTOW,NH,3865,
01-RC-164821,NORTHEAST BEVERAGE CORP.,Northeast beverage,,West Greenwich,RI,2817,
01-RC-165744,"Horizon Beverage Company of Rhode Island, Inc.",Horizon beverage,,West Greenwich,RI,2817,
01-RC-165840,"FIRSTGROUP AMERICA, INC.",Firstgroup,,Warren,RI,2885,
01-RC-166997,"THE WANG THEATRE, INC.  d/b/a  CITI PERFORMING ARTS CENTER",Wang Theatre,Citi Performing Arts,Boston,MA,2116,
01-RC-167567,SecureCare Options LLC,SecureCare,,Rocky Hill,CT,6067,
01-RC-167663,"ARAMARK EDUCATIONAL SERVICES, LLC",aramark,,SLATERSVILLE,RI,2876,
01-RC-167807,"FIRSTGROUP AMERICA, INC.",Firstgroup,,MOULTONBOROUGH,NH,3254,
01-RC-168322,HEALTHCARE SERVICES GROUP,Healthcare services,,Vernon,CT,6066,
01-RC-169777,"AIRWAY CLEANERS, LLC",Airway,, Kisco,NY,10549,
01-RC-169786,Fastenal Company d/b/a Holo-Krome,Fastenal,Holo-Krome,Winona,MN,55987,
01-RC-172192,"Vital Enterprises, Inc. d/b/a Vital Emergency Medical Services",Vital Enterprises,Vital Emergency,Worcester,MA,1603,
01-RC-172404,"H.N.S. MANAGEMENT COMPANY, INC.",HNS Management,,Hartford,CT,6120,
01-RC-173997,EMERSON COLLEGE (DIVERSITY AND INCLUSION),Emersen College,,Boston,MA,2116,
01-RC-175235,EAST-LAND FOOD PRODUCTS INC.,East-land,,Cranston,RI,2920,
01-RC-176529,"IKEA U.S. East, LLC",Ikea,,Stoughton,MA,2072,
01-RC-176992,"CHARLES GILMAN & SONS, INC.",Charles Gilman,,Norwood,MA,2062,
01-RC-177323,"FIRSTGROUP AMERICA, INC.",Firstgroup,,WILMINGTON,DE,19810,
01-RC-177820,PARK VIEW CENTER FOR REHABILITATION AND HEALTH CARE,Park View center,Park View rehab,Providence,RI,2909,
01-RC-179057,"Freshbev Craft Juicery, LLC",Freshbev,,New Haven,CT,6512,
01-RC-179495,C & W Facility Services Inc. d/b/a C & W Services,c&w,,Stamford,CT,6902,
01-RC-179529,ANGELICA TEXTILE SERVICES,Angelica Textile,,PAWTUCKET,RI,2860,
01-RC-179597,"FIDDLEHEAD THEATRE COMPANY, INC.",Fiddlehead theatre,,Dorchester,MA,2122,
01-RC-180436,HARRIS IT SERVICES CORPORATION,Harris IT,,New Boston,NH,3070,
01-RC-181959,"J. GOODISON CO., INC.",J Goodison,,North Kingstown,RI,2852,
01-RC-182433,"J's Associates, LLC",J's Associates,,Dunkirk,MD,20754,
01-RC-182570,BROCKTON VISITING NURSES ASSOCIATION,Visiting nurses association,,Brockton,MA,2301,
01-RC-183080,"FIRST GROUP AMERICA/ FIRST STUDENT, INC.",First Group ,First Student,Whitman,MA,2382,
01-RC-184304,"XPO Logistics Supply Chain, Inc.",XPO Logistics,,North Haven,CT,6473,
01-RC-184778,F.C.I. FEDERAL INC.,FCI Federal,,PORTSMOUTH,NH,3801,
01-RC-186250,"G4S REGULATED SECURITY SOLUTIONS, A DIVISION OF G4S SECURE SOLUTIONS (USA) INC.",G4s,,Seabrook,NH,3874,
01-RC-186289,"EASTERN BUS CO., INC.",eastern bus,,Somerville,MA,2143,
01-RC-186736,"AIRGAS USA, LLC",Airgas,,Bangor,ME,4401,
01-RC-186860,Autism Services Association,autism services,,Wellesley Hills,MA,2421,
01-RC-187865,ARAMARK CAFETERIA AT PINE MANOR COLLEGE,aramark,,Chestnut Hill,MA,2467,
01-RC-189331,"Healthcare Services Group, Inc.",Healthcare services,,Cromwell,CT,6416,
01-RC-189541,LBI Inc.,LBI,,Groton,CT,6340,
01-RC-190144,"UPS Ground Freight, Inc.",UPS,,Enfield,CT,6082,
01-RC-192181,ARAMARK,aramark,,Cranston,RI,2905,
01-RC-192398,TENENT AKA SAINT VINCENT HOSPITAL,Saint Vincent,Tenet,WORCESTER,MA,16081,
01-RC-192515,"Gulf Management Services, L.P.",Gulf Management,,New Haven,CT,6512,
01-RC-192923,"Paratransit Management of Berkshire, Inc",Paratransit,,Pittsfield,MA,1201,
01-RC-194462,Brigham and Women's Faulkner Hospital,Brigham Hospital,Faulkner Hospital,Jamaica Plain,MA,2130,
01-RC-196725,"Thermo Fisher Scientific, Inc.",Thermo Fisher,,Cambridge,MA,2142,
01-RC-197807,Brush Hill Transportation Company,Brush Hill,,RANDOLPH,MA,2368,
01-RC-198728," DHLNH, LLC",DHLNH,,Pawtucket,RI,2860,
01-RC-200766,"JACC Healthcare of Windham, LLC",JACC healthcare,,Willimantic,CT,6226,
01-RC-200837,"A & K LOGISTICS, INC.",A K Logistics,,East Taunton,MA,2718,
01-RC-201662,Mercy Home Care,Mercy ,,West Springfield,MA,1089,
01-RC-201805,"ALLIED WASTE SERVICES OF MASSACHUSETTS, LLC, d/b/a ALLIED WASTE SERVICES OF MARSHFIELD AND REPUBLIC SERVICES OF MARSHFIELD",Allied Waste,,Marshfield,MA,2050,
01-RC-201967,American Eagle Protective Services and Paragon Systems,American Eagle,Paragon ,Herndon,VA,20171,
01-RC-202000,Apple Theater,Apple Theater,,Cambridge,MA,2138,
01-RC-202249,"Linxx Global Solutions, Inc.",Linxx,,Boston,MA,2109,
01-RC-202363,Asplundh Tree Expert Co.,Asplundh Tree,,Weare,NH,3281,
01-RC-202515,Asplundh Tree Expert Co.,Asplundh Tree,,Weare,NH,3281,
01-RC-205981,"CBRE, INC.",CBRE,,Quincy,MA,2171,
01-RC-206195,"Aramark Educational Services, LLC",aramark,,East Greenwich,RI,2818,
01-RC-206487,"RURAL FUELS, INC.",Rural fuels,,Trumbull,CT,6611,
01-RC-207754,Lawrence Ready Mix,Lawrence Ready,,Plympton,MA,2367,
01-RC-207756,"First Transit, Inc.",First Transit,,Storrs,CT,6269,
01-RC-207847,"COCA-COLA BOTTLING COMPANY OF NORTHERN NEW ENGLAND, INC.",Coca Cola,,Londonderry,NH,3053,
01-RC-207984,"C & W Facility Services, Inc. d/b/a C & W Services",C W Services,CW Facility,BLOOMFIELD,NJ,7003,
01-RC-208689,"Davis Management Company, LLC d/b/a The Davis Companies",Davis Management,Davis companies,Norwalk,CT,6854,
01-RC-209139,Island Light and Power Systems Inc.,Island Light,,Norfolk,MA,2056,
01-RC-209710,Atrium Hospitality LP,Atrium Hospitality,,Stamford,CT,6902,
01-RC-209772,NAES Corporation,NAES,,Oxford,CT,6478,
01-RC-210074,HP Hood LLC,HP Hood,,Agawan,MA,2122,
01-RC-210271,"Arbour Elder Services, Inc. dba Arbour Counseling Services Norwell",Arbour elder,Arbour Counseling,Norwell,MA,2161,
01-RC-210884,"ENVIRO EXPRESS, INC.",Enviro Express,,Bridgeport,CT,6605,
01-RC-211407,"AmeriGas Propane, Inc.",Amerigas Propane,,Killingworth,CT,6419,
01-RC-211757,SP Plus Corporation,SP Plus,,Warwick,RI,2886,
01-RC-212044,National Express Transit Corp.,National Express ,,Hyde Park,MA,2136,
01-RC-212668,383 Mill Street Operator LLC d/b/a The Hermitage Healthcare,Hermitage Health,383 Mill Street,Worcester,MA,1602,
01-RC-214135,"DURHAM SCHOOL SERVICES, L.P.",durham school,,FRAMINGHAM,MA,1702,
01-RC-214537,SP PLUS CORPORATION,SP Plus,,Warwick,RI,2886,
01-RC-215204,"Van Pool Transportation, LLC",van pool,,Duxbury,MA,2332,
01-RC-219887,"SDH Services East, LLC, a subsidiary of Sodexo, Inc.",sdh ,sodexo,Worcester,MA,1655,
01-RC-220168,Lecrenski Bros. Inc.,lecrenski,,Russell,MA,1071,
01-RC-221171,Dragon Products Company LLC,Dragon products,,South Portland,ME,4106,
01-RC-222095,"Tri-City Fire Protection, LLC",Tri-city fire,,Tolland,CT,6084,
01-RC-223300,"Recleim Nova, LLC",Recleim ,,Lincoln,RI,2865,
01-RC-224369,"Blue Tarp Redevelopment, LLC d/b/a MGM Springfield",Blue Tarp ,MGM Springfield,National Harbor,MD,20745,
01-RC-225499,Stonehedge MA SNF LLC,Stonehenge,,West Roxury,MA,2132,
01-RC-227146,"Allied Waste Services of Massachusetts, LLC d/b/a Allied Waste Services of Marshfield and Republic Services of Marshfield",Allied Waste,,Marshfield,MA,2050,
01-RC-227574,Snow Pond Arts Academy,Snow Pond,,Sidney,ME,4330,
01-RC-228228,Allegiance Realty Corporation,Allegiance Realty,,Danbury,CT,6810,
